trade,pnl_netto,pnl_tp,pnl_sl
357,72.81619890428985,121.55603921272444,-148.73984030843465
358,72.2973772550672,121.55603921272444,-149.2586619576573
359,73.00525237086677,122.26391432852401,-149.2586619576573
360,74.15813156013365,123.4167935177909,-149.2586619576573
361,73.83558608685591,123.4167935177909,-149.58120743093502
362,73.52391866878357,123.4167935177909,-149.89287484900737
363,73.16221651703178,123.4167935177909,-150.25457700075916
364,74.02570970449986,124.28028670525897,-150.25457700075916
365,73.63063600533172,124.28028670525897,-150.6496506999273
366,74.35164947764711,125.00130017757436,-150.6496506999273
367,74.03467673630455,125.00130017757436,-150.96662344126986
368,73.61944501454914,125.00130017757436,-151.38185516302525
369,74.48661940473224,125.86847456775746,-151.38185516302525
370,74.11568482955856,125.86847456775746,-151.7527897381989
371,73.79181187918945,125.86847456775746,-152.076662688568
372,73.46791961784939,125.86847456775746,-152.40055494990807
373,73.14683042667708,125.86847456775746,-152.7216441410804
374,72.82499803566508,125.86847456775746,-153.0434765320924
375,72.42241386546671,125.86847456775746,-153.44606070229077
376,73.16621638651783,126.61227708880858,-153.44606070229077
377,72.7748624071868,126.61227708880858,-153.8374146816218
378,71.72899731448892,126.61227708880858,-154.88327977431967
379,71.40654720440381,126.61227708880858,-155.20572988440478
380,70.83197441876978,126.61227708880858,-155.7803026700388
381,70.397422608777,126.61227708880858,-156.21485448003156
382,70.07944802908064,126.61227708880858,-156.53282905972793
383,69.23697749035112,126.61227708880858,-157.37529959845745
384,68.82580790588588,126.61227708880858,-157.7864691829227
385,69.70342227671307,127.48989145963577,-157.7864691829227
386,69.06566308968398,127.48989145963577,-158.4242283699518
387,68.4195585189514,127.48989145963577,-159.07033294068438
388,68.09886877707041,127.48989145963577,-159.39102268256536
389,68.825607460558,128.21663014312335,-159.39102268256536
390,69.54362880226027,128.93465148482562,-159.39102268256536
391,70.30006160088017,129.69108428344552,-159.39102268256536
392,69.99047434574805,129.69108428344552,-159.7006099376975
393,69.68337893913288,129.69108428344552,-160.00770534431265
394,70.57413777399127,130.5818431183039,-160.00770534431265
395,71.34159033929879,131.34929568361142,-160.00770534431265
396,70.52041868420379,131.34929568361142,-160.82887699940764
397,70.20000811419915,131.34929568361142,-161.14928756941228
398,70.98325295360509,132.13254052301735,-161.14928756941228
399,70.6638695461225,132.13254052301735,-161.46867097689486
400,70.34034628282575,132.13254052301735,-161.7921942401916
401,70.00176826531097,132.13254052301735,-162.13077225770638
402,70.75911019347024,132.88988245117662,-162.13077225770638
403,70.38940506335216,132.88988245117662,-162.50047738782445
404,70.08048276973418,132.88988245117662,-162.80939968144244
405,69.76327108119708,132.88988245117662,-163.12661136997954
406,70.60287914135941,133.72949051133895,-163.12661136997954
407,71.55646246600612,134.68307383598565,-163.12661136997954
408,71.14636800218531,134.68307383598565,-163.53670583380037
409,70.8354842562523,134.68307383598565,-163.84758957973338
410,71.58465870202089,135.43224828175426,-163.84758957973338
411,72.42043276289739,136.26802234263076,-163.84758957973338
412,73.19978046129854,137.0473700410319,-163.84758957973338
413,73.94499212342737,137.79258170316075,-163.84758957973338
414,73.26180152944265,137.79258170316075,-164.5307801737181
415,72.97135831165909,137.79258170316075,-164.82122339150166
416,72.57561197653263,137.79258170316075,-165.21696972662812
417,73.37918512444034,138.59615485106846,-165.21696972662812
418,73.04943187346,138.59615485106846,-165.54672297760848
419,72.60727855210001,138.59615485106846,-165.98887629896845
420,72.28531034365565,138.59615485106846,-166.3108445074128
421,72.97110538154816,139.28194988896098,-166.3108445074128
422,72.48496753468017,139.28194988896098,-166.7969823542808
423,72.18997776401328,139.28194988896098,-167.0919721249477
424,72.97727336780365,140.06924549275135,-167.0919721249477
425,72.63477276282701,140.06924549275135,-167.43447272992432
426,72.33708286506706,140.06924549275135,-167.73216262768426
427,71.97723828818638,140.06924549275135,-168.09200720456494
428,71.5928344701515,140.06924549275135,-168.47641102259982
429,72.42745355690634,140.9038645795062,-168.47641102259982
430,71.9504286307365,140.9038645795062,-168.95343594876965
431,72.65381365888727,141.607249607657,-168.95343594876965
432,73.4335288952509,142.3869648440206,-168.95343594876965
433,73.14671512254047,142.3869648440206,-169.2402497214801
434,73.82818678843792,143.06843650991806,-169.2402497214801
435,73.47227242619522,143.06843650991806,-169.59616408372278
436,74.15077938975435,143.7469434734772,-169.59616408372278
437,74.88673122803569,144.4828953117585,-169.59616408372278
438,74.54668773139974,144.4828953117585,-169.93620758035874
439,73.76599605551397,144.4828953117585,-170.71689925624452
440,75.5938055702008,146.31070482644535,-170.71689925624452
441,75.2224387972216,146.31070482644535,-171.08826602922372
442,76.04784708826867,147.1361131174924,-171.08826602922372
443,75.7363677123434,147.1361131174924,-171.399745405149
444,76.57108036068976,147.97082576583878,-171.399745405149
445,76.2227845200342,147.97082576583878,-171.74804124580456
446,75.81684946323614,147.97082576583878,-172.15397630260262
447,76.68401337293795,148.8379896755406,-172.15397630260262
448,77.47216971945866,149.6261460220613,-172.15397630260262
449,77.14909694567606,149.6261460220613,-172.4770490763852
450,78.03202965918678,150.50907873557202,-172.4770490763852
451,77.6929737263798,150.50907873557202,-172.8161050091922
